Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA,Interest Rate,Unemployment Rate,Immigration Num,All-items CPI,All industries GDP,Active businesses,Opening businesses,Closing businesses
2008-02,134.9,133.9,139.1,130.5,139.9,140.8,323600,348800,289000,395200,282100,242200,4.0,6.1,18690.0,112.2,"1,698,189",869922.0,42433.0,36132.0
2008-03,134.9,133.9,139.1,130.4,140.2,141.0,323600,348600,289000,395000,282700,242500,3.53,6.2,18690.0,112.6,"1,701,248",869922.0,42433.0,36132.0
2008-04,134.5,133.4,138.5,129.9,140.3,140.5,322500,347300,287700,393500,282900,241700,3.34,6.2,18690.0,113.5,"1,704,814",869922.0,42433.0,36132.0
2008-05,133.7,132.6,137.7,129.2,139.9,139.9,320700,345200,285900,391200,282200,240700,3.0,6.2,18690.0,114.6,"1,704,784",869922.0,42433.0,36132.0
2008-06,133.0,131.8,136.9,128.5,139.3,139.1,318900,343300,284300,389100,280900,239200,3.0,6.1,18690.0,115.4,"1,708,170",869922.0,42433.0,36132.0
2008-07,132.1,130.8,135.7,127.5,138.6,138.3,316700,340700,281900,386300,279500,237900,3.0,6.2,18690.0,115.8,"1,715,622",869922.0,42433.0,36132.0
2008-08,131.2,130.1,135.0,126.6,137.7,137.3,314700,338700,280400,383600,277700,236100,3.0,6.2,18690.0,115.6,"1,714,295",869922.0,42433.0,36132.0
2008-09,130.5,129.3,134.2,125.9,136.9,136.4,312900,336700,278800,381400,276200,234600,2.99,6.3,18690.0,115.7,"1,714,712",869922.0,42433.0,36132.0
2008-10,128.8,127.6,132.4,124.3,135.7,134.7,308800,332300,275000,376500,273800,231600,2.53,6.4,18690.0,114.5,"1,712,871",869922.0,42433.0,36132.0
2008-11,127.4,126.3,130.7,123.2,134.5,132.9,305600,328900,271500,373300,271200,228600,2.25,6.7,18690.0,114.1,"1,695,651",869922.0,42433.0,36132.0
2008-12,125.8,124.7,129.2,121.6,131.6,131.5,301700,324800,268400,368300,265500,226200,1.69,7.0,18690.0,113.3,"1,672,410",869922.0,42433.0,36132.0
2009-01,124.5,123.5,127.9,120.4,131.1,129.2,298600,321700,265700,364800,264400,222300,1.3,7.5,18690.0,113.0,"1,664,411",869922.0,42433.0,36132.0
2009-02,123.4,122.3,126.7,119.2,130.0,128.5,296000,318500,263200,361100,262300,221100,1.0,8.1,18690.0,113.8,"1,655,773",869922.0,42433.0,36132.0
2009-03,122.6,121.4,125.2,118.7,129.0,128.1,294000,316200,260000,359500,260100,220300,0.52,8.3,18690.0,114.0,"1,642,352",869922.0,42433.0,36132.0
2009-04,123.1,122.0,125.9,119.2,128.7,128.8,295300,317800,261500,361100,259500,221500,0.41,8.4,18690.0,113.9,"1,637,034",869922.0,42433.0,36132.0
2009-05,124.1,123.2,126.6,120.4,129.0,129.8,297700,320700,263000,364800,260200,223200,0.24,8.6,18690.0,114.7,"1,635,329",869922.0,42433.0,36132.0
2009-06,125.7,124.7,127.8,122.1,129.8,131.6,301400,324700,265400,369800,261900,226400,0.24,8.8,18690.0,115.1,"1,637,232",869922.0,42433.0,36132.0
2009-07,127.5,126.5,129.4,124.0,131.7,133.5,305700,329500,268800,375500,265600,229700,0.24,8.8,18690.0,114.7,"1,639,863",869922.0,42433.0,36132.0
2009-08,129.3,128.4,130.9,125.9,133.2,135.5,310100,334300,271900,381500,268600,233000,0.24,8.8,18690.0,114.7,"1,639,145",869922.0,42433.0,36132.0
2009-09,131.3,130.4,132.5,128.1,135.0,137.4,314800,339600,275200,387900,272200,236300,0.24,8.5,18690.0,114.7,"1,651,417",869922.0,42433.0,36132.0
2009-10,133.2,132.4,134.2,130.2,136.7,139.5,319500,344800,278700,394400,275800,239900,0.24,8.5,18690.0,114.6,"1,653,106",869922.0,42433.0,36132.0
2009-11,135.0,134.1,135.6,132.0,138.4,141.6,323700,349200,281700,399900,279200,243500,0.24,8.6,18690.0,115.2,"1,662,710",869922.0,42433.0,36132.0
2009-12,136.4,135.6,137.1,133.5,140.1,143.1,327200,353100,284800,404300,282500,246100,0.24,8.6,18690.0,114.8,"1,667,429",869922.0,42433.0,36132.0
2010-01,137.5,136.5,137.6,134.6,141.9,144.9,329800,355500,285800,407700,286200,249300,0.24,8.4,18690.0,115.1,"1,677,635",869922.0,42433.0,36132.0
2010-02,138.4,137.5,138.2,135.7,142.5,145.3,331800,358000,287000,411000,287400,250000,0.24,8.4,18690.0,115.6,"1,686,315",869922.0,42433.0,36132.0
2010-03,139.0,138.1,138.5,136.4,143.5,145.9,333300,359500,287700,413100,289500,251000,0.24,8.3,18690.0,115.6,"1,694,468",869922.0,42433.0,36132.0
2010-04,139.3,138.3,138.9,136.6,144.3,146.1,334000,360200,288400,413700,291100,251300,0.25,8.2,18690.0,116.0,"1,692,492",869922.0,42433.0,36132.0
2010-05,139.1,138.2,138.6,136.5,144.3,146.0,333600,359800,287800,413500,291100,251100,0.25,8.1,18690.0,116.3,"1,700,050",869922.0,42433.0,36132.0
2010-06,138.6,137.7,137.9,136.1,144.3,145.1,332400,358600,286400,412200,291000,249500,0.49,8.0,18690.0,116.2,"1,704,611",869922.0,42433.0,36132.0
2010-07,138.3,137.5,137.7,135.9,143.4,144.4,331600,358000,285900,411500,289200,248400,0.59,8.2,18690.0,116.8,"1,707,189",869922.0,42433.0,36132.0
2010-08,138.2,137.4,137.3,135.9,143.0,143.8,331300,357900,285200,411700,288400,247300,0.75,8.2,18690.0,116.7,"1,712,496",869922.0,42433.0,36132.0
